Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
197,X5210,00AG,Camden,LONDON,103,16,12,9,1,1,0,39,0.4,13,5,6,63,16,88,54,217,287,662,6.4,74
212,N5090,00AC,Barnet,LONDON,137,21,14,5,1,9,0,50,0.4,5,12,45,112,0,5,1046,884,204,"2,139",15.6,54
218,Q5300,00AK,Enfield,LONDON,117,18,22,0,1,1,0,42,0.4,16,34,25,117,3,0,82,1821,198,"2,104",18,0
228,P5870,00BF,Sutton,LONDON,82,22,5,1,3,4,1,36,0.4,11,5,28,80,29,10,86,95,31,251,3.1,0
238,J0350,00MD,Slough UA,SOUTH EAST,48,14,0,4,1,0,0,19,0.4,19,17,35,90,0,0,41,43,0,84,1.8,0
260,P1750,24UL,Rushmoor,SOUTH EAST,36,12,0,0,1,0,0,13,0.4,2,0,3,18,1,6,8,0,1,16,0.4,0
266,X2220,29UE,Dover,SOUTH EAST,46,17,0,0,0,0,0,17,0.4,2,2,9,30,22,7,9,3,0,41,0.9,0
267,K2230,29UG,Gravesham,SOUTH EAST,40,6,0,0,0,0,10,16,0.4,0,2,4,22,0,0,22,0,0,22,0.6,0
271,V2255,29UM,Swale,SOUTH EAST,53,18,0,0,1,0,0,19,0.4,5,0,10,34,12,14,12,17,10,65,1.2,6
287,D3640,43UJ,Surrey Heath,SOUTH EAST,33,10,1,1,0,0,1,13,0.4,1,1,2,17,4,32,12,0,2,50,1.5,2
292,C3810,45UC,Arun,SOUTH EAST,68,26,0,0,0,0,0,26,0.4,13,4,18,61,7,32,10,0,8,57,0.8,7
312,Y1110,18UC,Exeter,SOUTH WEST,51,20,1,0,1,0,0,22,0.4,8,6,8,44,32,7,28,83,0,150,2.9,0
326,F1610,23UC,Cotswold,SOUTH WEST,36,13,0,0,1,0,0,14,0.4,0,18,18,50,1,2,7,0,0,10,0.3,3
330,G1630,23UG,Tewkesbury,SOUTH WEST,35,14,0,0,0,0,0,14,0.4,0,0,1,15,3,2,0,0,6,11,0.3,5
335,H3320,40UF,West Somerset,SOUTH WEST,16,6,0,0,0,0,0,6,0.4,5,23,11,45,0,0,0,6,0,6,0.4,0
6,P2935,00EM,Northumberland UA,NORTH EAST,136,43,0,1,1,0,0,45,0.3,6,21,31,103,0,8,5,0,0,13,0.1,1
8,H0738,00EF,Stockton-on-Tees UA,NORTH EAST,79,21,1,2,1,2,0,27,0.3,2,57,21,107,11,0,16,0,0,27,0.3,21
14,9,B,NORTH WEST,NORTH WEST,"2,935",730,70,40,20,30,50,940,0.3,190,860,770,"2,760",80,290,390,10,150,920,0.3,350
16,J2373,00EY,Blackpool UA,NORTH WEST,63,19,0,0,0,0,0,19,0.3,5,288,4,316,0,23,0,0,0,23,0.4,5
28,T4210,00BM,Bury,NORTH WEST,76,14,3,2,2,0,0,21,0.3,0,11,36,68,0,3,3,0,3,9,0.1,12
31,P4225,00BQ,Rochdale,NORTH WEST,84,20,2,3,0,1,1,27,0.3,3,45,55,130,0,14,5,0,0,19,0.2,2
34,G4240,00BT,Tameside,NORTH WEST,92,24,3,0,0,0,1,28,0.3,4,108,50,190,9,3,29,0,8,49,0.5,4
41,A2335,30UH,Lancaster,NORTH WEST,60,15,0,0,0,0,0,15,0.3,6,11,5,37,0,0,0,1,0,1,0,49
42,E2340,30UJ,Pendle,NORTH WEST,37,11,0,0,0,0,0,11,0.3,0,3,8,22,0,0,0,0,0,0,0,8
43,N2345,30UK,Preston,NORTH WEST,56,12,0,2,1,0,0,15,0.3,3,4,4,26,1,0,16,4,0,21,0.4,7
46,F2360,30UN,South Ribble,NORTH WEST,45,13,0,1,0,0,0,14,0.3,3,1,5,23,2,1,25,2,0,30,0.7,3
50,Z4310,00BY,Liverpool,NORTH WEST,193,39,9,1,0,3,8,60,0.3,2,25,49,136,0,57,0,0,0,57,0.3,0
75,X4725,00DB,Wakefield,YORKSHIRE AND THE HUMBER,139,27,6,2,0,2,2,39,0.3,6,17,11,73,1,11,0,56,0,68,0.5,0
81,M1005,17UB,Amber Valley,EAST MIDLANDS,52,7,1,0,0,0,6,14,0.3,1,3,21,39,0,5,0,0,6,11,0.2,6
92,K2420,31UE,Hinckley and Bosworth,EAST MIDLANDS,44,11,1,0,0,1,0,13,0.3,0,5,2,20,1,8,0,0,0,9,0.2,7
97,D2510,32UC,East Lindsey,EAST MIDLANDS,62,16,0,0,0,0,0,16,0.3,0,2,13,31,7,1,11,14,0,33,0.5,4
100,A2525,32UF,South Holland,EAST MIDLANDS,36,10,0,0,0,0,0,10,0.3,7,0,6,23,0,0,19,0,1,20,0.6,0
103,U2805,34UB,Corby,EAST MIDLANDS,23,6,0,0,0,0,0,6,0.3,2,0,7,15,0,3,1,0,0,4,0.2,0
104,Y2810,34UC,Daventry,EAST MIDLANDS,32,11,0,0,0,0,0,11,0.3,3,5,3,22,2,2,0,0,0,4,0.1,5
105,G2815,34UD,East Northamptonshire,EAST MIDLANDS,35,9,0,0,0,0,0,9,0.3,9,6,8,32,0,3,7,0,0,10,0.3,1
133,J3720,44UE,Stratford-on-Avon,WEST MIDLANDS,51,16,0,0,0,0,1,17,0.3,1,6,10,34,0,0,15,0,2,17,0.3,6
137,C4615,00CR,Dudley,WEST MIDLANDS,127,32,3,0,1,0,0,36,0.3,12,25,355,428,0,2,41,0,0,43,0.3,32
153,D1590,00KF,Southend-on-Sea UA,EAST of ENGLAND,74,15,3,1,1,0,3,23,0.3,8,3,8,42,0,22,6,7,1,36,0.5,2
159,W0530,12UG,South Cambridgeshire,EAST of ENGLAND,58,15,0,0,0,0,0,15,0.3,0,4,1,20,0,16,14,1,0,31,0.5,0
175,N1920,26UE,Hertsmere,EAST of ENGLAND,40,6,2,2,1,0,0,11,0.3,2,4,6,23,7,4,15,0,4,30,0.8,0
179,P1940,26UJ,Three Rivers,EAST of ENGLAND,35,10,1,0,0,0,0,11,0.3,2,1,7,21,0,0,19,0,2,21,0.6,5
185,V2635,33UE,King's Lynn and West Norfolk,EAST of ENGLAND,62,13,0,0,0,0,3,16,0.3,3,22,12,53,0,0,29,0,0,29,0.5,1
189,D3505,42UB,Babergh,EAST of ENGLAND,37,3,0,0,0,0,8,11,0.3,2,1,1,15,0,0,2,0,2,4,0.1,0
193,E3525,42UF,St. Edmundsbury,EAST of ENGLAND,44,15,0,0,0,0,0,15,0.3,7,4,1,27,0,0,11,0,2,13,0.3,0
206,G5750,00BB,Newham,LONDON,92,7,7,4,3,0,3,24,0.3,14,33,62,133,20,0,97,1000,1593,"2,710",29.5,2
221,B5480,00AR,Havering,LONDON,96,20,8,0,2,0,2,32,0.3,16,61,141,250,0,71,0,371,0,442,4.6,--
225,T5720,00BA,Merton,LONDON,87,11,5,4,2,1,0,23,0.3,9,14,8,54,0,21,3,0,52,76,0.9,0
230,6,J,SOUTH EAST,SOUTH EAST,"3,480",940,60,30,30,10,60,"1,130",0.3,290,300,640,"2,350",400,420,1110,1230,500,"3,660",1.1,170
248,B1415,21UD,Hastings,SOUTH EAST,39,8,1,0,0,1,2,12,0.3,5,1,11,29,1,0,1,2,9,13,0.3,4
272,Z2260,29UN,Thanet,SOUTH EAST,58,15,0,0,2,0,0,17,0.3,2,0,14,33,9,6,0,2,0,17,0.3,3
275,C3105,38UB,Cherwell,SOUTH EAST,57,12,0,2,1,0,0,15,0.3,6,4,6,31,10,0,20,0,0,30,0.5,0
296,D3830,45UG,Mid Sussex,SOUTH EAST,54,15,0,0,0,0,1,16,0.3,2,3,9,30,9,0,11,0,7,27,0.5,4
298,7,K,SOUTH WEST,SOUTH WEST,"2,241",700,20,10,10,10,30,780,0.3,140,250,420,"1,590",320,300,460,770,180,"2,040",0.9,310
299,F0114,00HA,Bath and North East Somerset UA,SOUTH WEST,74,21,1,1,0,0,0,23,0.3,2,3,9,37,4,16,6,0,1,27,0.4,0
300,G1250,00HN,Bournemouth UA,SOUTH WEST,73,19,0,0,0,0,0,19,0.3,2,2,2,25,0,10,0,0,0,10,0.1,0
307,P0119,00HD,South Gloucestershire UA,SOUTH WEST,107,27,0,2,0,0,5,34,0.3,5,3,8,50,7,4,26,17,28,82,0.8,0
308,U3935,00HX,Swindon UA,SOUTH WEST,84,10,0,1,1,0,11,23,0.3,9,17,9,58,5,1,85,133,32,256,3,0
310,Y3940,00HY,Wiltshire UA,SOUTH WEST,187,58,2,0,0,0,0,60,0.3,8,5,1,74,0,45,24,76,0,145,0.8,9
314,G1115,18UE,North Devon,SOUTH WEST,39,12,0,0,0,0,0,12,0.3,3,1,0,16,2,0,0,7,0,9,0.2,3
315,V1125,18UG,South Hams,SOUTH WEST,36,11,0,0,0,0,0,11,0.3,1,2,1,15,0,0,7,16,0,23,0.6,1
317,W1145,18UK,Torridge,SOUTH WEST,28,8,0,0,0,0,0,8,0.3,2,0,4,14,1,7,0,3,0,11,0.4,0
323,F1230,19UH,West Dorset,SOUTH WEST,43,12,0,0,0,0,0,12,0.3,3,0,11,26,0,0,0,19,0,19,0.4,0
13,J4525,00CM,Sunderland,NORTH EAST,121,21,1,0,0,0,0,22,0.2,3,1,8,34,8,0,0,0,0,8,0.1,34
17,R0660,00EQ,Cheshire East UA,NORTH WEST,155,25,1,0,0,0,0,26,0.2,0,6,0,32,5,4,5,0,0,14,0.1,10
18,A0665,00EW,Cheshire West and Chester UA,NORTH WEST,137,21,0,0,0,0,0,21,0.2,0,3,26,50,3,1,12,0,10,26,0.2,10
22,W0910,16UC,Barrow-in-Furness,NORTH WEST,31,7,0,0,0,0,0,7,0.2,2,5,21,35,4,0,6,0,0,10,0.3,2
33,C4235,00BS,Stockport,NORTH WEST,123,20,2,1,1,0,0,24,0.2,2,42,4,72,0,27,0,0,0,27,0.2,1
49,V4305,00BX,Knowsley,NORTH WEST,62,14,0,0,0,0,0,14,0.2,7,4,17,42,0,6,0,0,0,6,0.1,4
62,E2734,36UD,Harrogate,YORKSHIRE AND THE HUMBER,67,12,3,0,0,0,0,15,0.2,0,1,0,16,0,12,13,5,15,45,0.7,1
69,P4415,00CF,Rotherham,YORKSHIRE AND THE HUMBER,106,18,3,1,0,0,0,22,0.2,1,5,19,47,0,2,20,0,0,22,0.2,22
71,W4705,00CX,Bradford,YORKSHIRE AND THE HUMBER,192,20,6,8,0,1,4,39,0.2,3,5,45,92,4,0,26,0,0,30,0.2,22
85,N1025,17UG,Erewash,EAST MIDLANDS,48,6,0,0,1,1,0,8,0.2,3,1,3,15,4,0,0,4,0,8,0.2,--
86,T1030,17UH,High Peak,EAST MIDLANDS,39,8,0,0,0,0,0,8,0.2,2,4,6,20,0,2,12,0,0,14,0.4,1
96,Z2505,32UB,Boston,EAST MIDLANDS,26,5,0,0,1,0,0,6,0.2,1,5,7,19,1,4,12,0,0,17,0.7,0
99,R2520,32UE,North Kesteven,EAST MIDLANDS,44,7,0,0,0,0,0,7,0.2,0,0,0,7,0,0,13,0,0,13,0.3,0
102,N2535,32UH,West Lindsey,EAST MIDLANDS,37,6,0,0,0,0,0,6,0.2,0,0,4,10,2,0,1,0,0,3,0.1,8
122,X3405,41UB,Cannock Chase,WEST MIDLANDS,39,6,0,0,0,0,0,6,0.2,9,7,18,40,5,0,0,0,0,5,0.1,0
127,Y3425,41UG,Stafford,WEST MIDLANDS,53,7,0,2,0,0,2,11,0.2,9,3,6,29,4,0,0,1,0,5,0.1,10
144,Q1825,47UD,Redditch,WEST MIDLANDS,33,6,1,0,0,0,0,7,0.2,18,4,14,43,0,0,3,0,0,3,0.1,0
162,H1515,22UD,Brentwood,EAST of ENGLAND,30,6,0,0,0,0,0,6,0.2,0,1,2,9,1,3,15,22,2,43,1.4,2
163,M1520,22UE,Castle Point,EAST of ENGLAND,37,6,0,0,1,0,0,7,0.2,6,3,2,18,15,3,0,42,1,61,1.6,13
166,J1535,22UH,Epping Forest,EAST of ENGLAND,52,8,3,0,0,0,1,12,0.2,2,0,3,17,5,32,9,1,0,47,0.9,0
168,X1545,22UK,Maldon,EAST of ENGLAND,26,6,0,0,0,0,0,6,0.2,1,0,0,7,1,0,11,0,0,13,0.5,1
170,P1560,22UN,Tendring,EAST of ENGLAND,66,15,0,0,0,0,0,15,0.2,2,1,11,29,3,0,74,0,0,77,1.2,0
173,A1910,26UC,Dacorum,EAST of ENGLAND,58,8,1,0,0,1,0,10,0.2,2,0,1,13,0,15,0,0,0,15,0.3,0
174,J1915,26UD,East Hertfordshire,EAST of ENGLAND,56,10,0,2,0,0,0,12,0.2,2,0,11,25,0,11,0,4,7,22,0.4,1
177,B1930,26UG,St. Albans,EAST of ENGLAND,56,7,0,2,2,1,1,13,0.2,0,1,2,16,0,3,11,0,17,31,0.6,0
188,L2630,33UH,South Norfolk,EAST of ENGLAND,50,7,0,0,0,0,3,10,0.2,2,4,12,28,4,0,5,0,1,10,0.2,1
211,Z5060,00AB,Barking and Dagenham,LONDON,68,3,7,2,0,2,0,14,0.2,3,30,70,117,52,21,8,620,3,704,10.4,0
233,P2114,00MW,Isle of Wight UA,SOUTH EAST,62,12,0,0,0,2,0,14,0.2,8,5,16,43,7,0,25,118,0,150,2.4,3
234,A2280,00LC,Medway UA,SOUTH EAST,104,26,0,0,0,0,0,26,0.2,4,5,27,62,4,0,20,0,78,102,1,3
237,E0345,00MC,Reading UA,SOUTH EAST,60,10,3,0,1,0,0,14,0.2,5,7,17,43,7,35,0,15,0,57,1,0
244,X0415,11UC,Chiltern,SOUTH EAST,36,6,0,1,0,1,0,8,0.2,2,0,2,12,0,3,15,0,0,18,0.5,0
245,N0410,11UE,South Bucks,SOUTH EAST,26,5,0,0,0,0,0,5,0.2,1,1,5,12,0,0,9,0,0,9,0.3,0
246,K0425,11UF,Wycombe,SOUTH EAST,65,8,5,2,0,0,0,15,0.2,10,11,2,38,0,19,39,3,0,61,0.9,0
255,A1720,24UE,Fareham,SOUTH EAST,46,7,0,0,0,0,0,7,0.2,3,2,4,16,9,0,19,6,1,35,0.8,0
268,U2235,29UH,Maidstone,SOUTH EAST,61,15,0,0,0,0,0,15,0.2,1,1,5,22,9,0,26,0,1,36,0.6,2
278,V3120,38UE,Vale of White Horse,SOUTH EAST,47,8,1,0,0,1,0,10,0.2,6,2,5,23,0,8,12,1,1,22,0.5,0
293,L3815,45UD,Chichester,SOUTH EAST,49,9,0,0,0,0,0,9,0.2,1,1,5,16,1,0,32,0,0,33,0.7,6
295,Z3825,45UF,Horsham,SOUTH EAST,54,9,0,2,1,0,0,12,0.2,2,6,7,27,23,3,49,6,0,81,1.5,0
301,Z0116,00HB,Bristol City of UA,SOUTH WEST,184,27,7,1,1,1,3,40,0.2,8,6,5,59,0,96,41,2,20,159,0.9,32
304,D0121,00HC,North Somerset UA,SOUTH WEST,89,18,0,0,0,0,1,19,0.2,0,23,17,59,6,0,49,0,0,55,0.6,0
306,Q1255,00HP,Poole UA,SOUTH WEST,61,12,0,0,0,0,0,12,0.2,3,4,20,39,9,7,0,56,0,72,1.2,0
313,H1135,18UD,Mid Devon,SOUTH WEST,32,6,0,0,0,0,0,6,0.2,4,12,22,44,2,0,10,0,0,12,0.4,0
316,Z1130,18UH,Teignbridge,SOUTH WEST,55,12,0,0,0,0,0,12,0.2,3,5,8,28,8,0,0,9,0,17,0.3,20
322,B1225,19UG,Purbeck,SOUTH WEST,20,3,0,0,0,0,0,3,0.2,2,1,3,9,2,6,4,0,2,14,0.7,2
327,P1615,23UD,Forest of Dean,SOUTH WEST,34,7,0,0,0,0,0,7,0.2,1,0,4,12,3,0,4,0,0,7,0.2,3
332,V3310,40UC,Sedgemoor,SOUTH WEST,48,9,0,0,0,0,2,11,0.2,2,1,9,23,5,12,1,0,0,18,0.4,0
2,N1350,00EH,Darlington UA,NORTH EAST,44,5,0,0,0,0,0,5,0.1,4,0,3,12,3,0,1,0,0,4,0.1,6
4,H0724,00EB,Hartlepool UA,NORTH EAST,39,1,1,0,0,0,0,2,0.1,0,6,1,9,2,0,0,0,0,2,0.1,5
7,V0728,00EE,Redcar and Cleveland UA,NORTH EAST,58,5,0,0,0,0,0,5,0.1,2,1,2,10,4,1,8,1,0,14,0.2,2
25,T0925,16UF,Eden,NORTH WEST,23,2,0,0,0,0,0,2,0.1,0,1,0,3,0,0,11,2,0,13,0.6,1
30,F4220,00BP,Oldham,NORTH WEST,89,11,1,1,0,0,0,13,0.1,1,2,9,25,0,0,7,0,0,7,0.1,0
44,T2350,30UL,Ribble Valley,NORTH WEST,24,2,0,0,0,0,0,2,0.1,2,0,1,5,0,5,0,0,0,5,0.2,0
45,B2355,30UM,Rossendale,NORTH WEST,28,3,0,0,0,0,0,3,0.1,0,0,0,3,1,0,0,0,0,1,0,1
48,U2370,30UQ,Wyre,NORTH WEST,49,3,0,0,0,0,0,3,0.1,0,1,2,6,1,0,0,0,0,1,0,0
52,M4320,00CA,Sefton,NORTH WEST,117,7,0,0,0,0,0,7,0.1,3,4,9,23,2,0,6,0,0,8,0.1,0
53,W4325,00CB,Wirral,NORTH WEST,135,19,1,0,0,0,0,20,0.1,8,2,13,43,2,0,4,0,0,6,0,10
67,B4405,00CC,Barnsley,YORKSHIRE AND THE HUMBER,96,2,2,1,0,0,0,5,0.1,2,3,61,71,1,0,4,0,0,5,0.1,0
68,F4410,00CE,Doncaster,YORKSHIRE AND THE HUMBER,122,16,0,1,0,0,0,17,0.1,1,33,22,73,1,0,3,0,0,4,0,20
72,A4710,00CY,Calderdale,YORKSHIRE AND THE HUMBER,86,4,0,2,0,0,2,8,0.1,1,1,8,18,0,0,25,0,0,25,0.3,0
78,W2465,00FN,Leicester UA,EAST MIDLANDS,121,5,4,1,1,1,3,15,0.1,12,142,1,170,0,43,0,0,0,43,0.4,0
91,F2415,31UD,Harborough,EAST MIDLANDS,34,3,0,0,0,0,0,3,0.1,0,5,1,9,3,0,2,0,0,5,0.1,2
95,L2440,31UJ,Oadby and Wigston,EAST MIDLANDS,23,2,0,0,1,0,0,3,0.1,0,0,0,3,2,8,1,0,0,11,0.5,0
110,W3005,37UB,Ashfield,EAST MIDLANDS,49,3,0,0,0,0,0,3,0.1,1,3,3,10,1,0,0,0,3,4,0.1,0
111,A3010,37UC,Bassetlaw,EAST MIDLANDS,47,7,0,0,0,0,0,7,0.1,4,5,18,34,1,2,0,0,0,3,0.1,0
112,J3015,37UD,Broxtowe,EAST MIDLANDS,48,2,0,0,1,0,0,3,0.1,1,2,6,12,0,0,0,0,2,2,0,0
116,P3040,37UJ,Rushcliffe,EAST MIDLANDS,47,4,0,0,0,0,0,4,0.1,0,3,6,13,0,6,3,0,0,9,0.2,0
125,P3420,41UE,Newcastle-under-Lyme,WEST MIDLANDS,53,3,0,0,0,0,0,3,0.1,1,3,4,11,1,0,1,0,0,2,0,2
140,V4630,00CU,Walsall,WEST MIDLANDS,103,9,0,4,0,2,0,15,0.1,0,1,6,22,0,0,13,0,0,13,0.1,22
171,C1570,22UQ,Uttlesford,EAST of ENGLAND,30,3,0,0,0,0,0,3,0.1,2,0,2,7,1,0,4,0,0,5,0.2,0
172,W1905,26UB,Broxbourne,EAST of ENGLAND,36,1,1,1,0,0,0,3,0.1,3,3,3,12,0,1,10,9,8,28,0.8,0
178,K1935,26UH,Stevenage,EAST of ENGLAND,34,4,0,1,0,0,0,5,0.1,0,1,3,9,0,8,33,0,0,41,1.2,0
220,M5450,00AQ,Harrow,LONDON,86,1,2,1,0,0,1,5,0.1,3,6,51,65,23,31,15,371,2,442,5.1,2
231,R0335,00MA,Bracknell Forest UA,SOUTH EAST,47,5,0,0,0,0,0,5,0.1,4,0,1,10,2,0,9,8,0,19,0.4,6
240,W0340,00MB,West Berkshire UA,SOUTH EAST,61,8,0,0,0,0,1,9,0.1,4,4,3,20,4,1,17,0,2,24,0.4,0
241,T0355,00ME,Windsor and Maidenhead UA,SOUTH EAST,57,3,0,0,0,0,0,3,0.1,0,0,0,3,2,0,0,0,18,20,0.4,0
250,U1430,21UG,Rother,SOUTH EAST,40,6,0,0,0,0,0,6,0.1,1,4,1,12,2,2,0,0,7,11,0.3,0
254,W1715,24UD,Eastleigh,SOUTH EAST,50,4,0,0,0,0,0,4,0.1,3,1,8,16,13,1,4,0,0,18,0.4,2
259,B1740,24UJ,New Forest,SOUTH EAST,76,9,0,0,0,0,0,9,0.1,6,3,8,26,8,4,27,113,0,152,2,0
261,C1760,24UN,Test Valley,SOUTH EAST,47,4,0,0,0,0,0,4,0.1,0,6,6,16,3,0,23,13,0,39,0.8,0
262,L1765,24UP,Winchester,SOUTH EAST,45,3,0,0,0,0,2,5,0.1,1,0,4,10,0,13,3,0,0,16,0.4,0
269,G2245,29UK,Sevenoaks,SOUTH EAST,46,4,0,0,0,0,1,5,0.1,1,0,0,6,1,0,7,0,0,8,0.2,1
270,L2250,29UL,Shepway,SOUTH EAST,44,6,0,0,0,0,0,6,0.1,13,3,18,40,1,8,0,34,0,43,1,0
273,H2265,29UP,Tonbridge and Malling,SOUTH EAST,47,6,0,0,0,0,0,6,0.1,1,3,1,11,0,0,9,0,1,10,0.2,5
274,M2270,29UQ,Tunbridge Wells,SOUTH EAST,45,4,0,0,1,0,0,5,0.1,1,2,2,10,0,0,14,4,3,21,0.5,1
279,D3125,38UF,West Oxfordshire,SOUTH EAST,42,4,0,0,0,0,0,4,0.1,0,0,2,6,0,0,3,0,2,5,0.1,0
280,K3605,43UB,Elmbridge,SOUTH EAST,54,3,0,0,0,0,0,3,0.1,0,6,4,13,3,0,12,0,7,22,0.4,0
283,C3620,43UE,Mole Valley,SOUTH EAST,35,3,0,0,0,0,0,3,0.1,0,0,9,12,3,1,14,0,0,18,0.5,0
284,L3625,43UF,Reigate and Banstead,SOUTH EAST,55,6,0,1,0,0,0,7,0.1,1,4,1,13,4,6,12,2,0,24,0.4,4
297,M3835,45UH,Worthing,SOUTH EAST,47,4,0,0,0,0,0,4,0.1,0,2,0,6,0,0,24,0,9,33,0.7,0
309,X1165,00HH,Torbay UA,SOUTH WEST,61,8,0,0,0,1,0,9,0.1,1,2,18,30,6,11,0,19,0,36,0.6,5
311,U1105,18UB,East Devon,SOUTH WEST,59,6,0,0,0,0,0,6,0.1,8,48,6,68,1,4,8,17,5,35,0.6,0
318,A1150,18UL,West Devon,SOUTH WEST,22,2,0,0,0,0,0,2,0.1,1,1,1,5,2,0,0,0,6,8,0.4,1
320,U1240,19UD,East Dorset,SOUTH WEST,38,--,--,--,--,--,--,3,0.1,--,--,--,--,8,2,0,1,5,16,0.4,1
324,P1235,19UJ,Weymouth and Portland,SOUTH WEST,28,3,0,0,0,0,0,3,0.1,1,3,4,11,3,0,18,27,2,50,1.8,0
325,B1605,23UB,Cheltenham,SOUTH WEST,50,5,1,0,0,0,0,6,0.1,2,0,49,57,7,0,16,0,0,23,0.5,0
15,M2372,00EX,Blackburn with Darwen UA,NORTH WEST,54,1,0,1,0,0,0,2,0,0,4,14,20,0,0,0,0,3,3,0.1,0
19,D0650,00ET,Halton UA,NORTH WEST,49,2,0,0,0,0,0,2,0,3,2,1,8,0,1,0,3,0,4,0.1,23
38,D2320,30UE,Chorley,NORTH WEST,44,0,0,0,0,0,0,0,0,0,0,8,8,0,12,0,0,0,12,0.3,3
39,M2325,30UF,Fylde,NORTH WEST,35,1,0,0,0,0,0,1,0,1,2,0,4,2,0,0,0,5,7,0.2,0
40,R2330,30UG,Hyndburn,NORTH WEST,33,0,0,0,0,0,0,0,0,2,0,4,6,0,2,0,0,0,2,0.1,0
60,M2705,36UB,Craven,YORKSHIRE AND THE HUMBER,24,0,0,0,0,0,0,0,0,1,0,6,7,0,2,1,0,0,3,0.1,0
87,B1035,17UJ,North East Derbyshire,EAST MIDLANDS,42,2,0,0,0,0,0,2,0,0,0,0,2,1,0,7,0,0,8,0.2,3
89,T2405,31UB,Blaby,EAST MIDLANDS,38,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0.1,0
194,J3530,42UG,Suffolk Coastal,EAST of ENGLAND,54,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,4,0.1,0
242,X0360,00MF,Wokingham UA,SOUTH EAST,62,3,0,0,0,0,0,3,0,6,2,1,12,3,2,3,0,6,14,0.2,2
247,T1410,21UC,Eastbourne,SOUTH EAST,44,1,0,0,0,0,0,1,0,12,3,7,23,3,7,0,6,10,26,0.6,0
252,H1705,24UB,Basingstoke and Deane,SOUTH EAST,67,0,0,0,0,0,0,0,0,3,3,1,7,0,0,2,2,0,4,0.1,0
257,N1730,24UG,Hart,SOUTH EAST,36,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,2,0.1,0
277,Q3115,38UD,South Oxfordshire,SOUTH EAST,54,2,0,0,0,0,0,2,0,3,0,5,10,0,0,11,0,1,12,0.2,0
281,P3610,43UC,Epsom and Ewell,SOUTH EAST,29,1,0,0,0,0,0,1,0,2,0,16,19,22,0,3,0,7,32,1.1,0
282,Y3615,43UD,Guildford,SOUTH EAST,54,2,0,0,0,0,0,2,0,2,1,3,8,0,0,8,0,1,9,0.2,0
286,Z3635,43UH,Spelthorne,SOUTH EAST,39,1,0,0,0,0,0,1,0,2,0,0,3,7,0,0,0,0,7,0.2,0
288,M3645,43UK,Tandridge,SOUTH EAST,33,1,0,0,0,0,0,1,0,0,0,2,3,0,3,13,0,0,16,0.5,0
289,R3650,43UL,Waverley,SOUTH EAST,48,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0
290,A3655,43UM,Woking,SOUTH EAST,38,1,0,0,0,0,0,1,0,0,0,0,1,3,19,2,4,0,28,0.7,0
319,E1210,19UC,Christchurch,SOUTH WEST,21,--,--,--,--,--,--,1,0,--,--,--,--,3,0,3,2,8,16,1,6
329,C1625,23UF,Stroud,SOUTH WEST,47,1,1,0,0,0,0,2,0,1,0,6,9,2,0,0,1,2,5,0.1,2
